,min_A,min_B,min_C,avg_A,avg_B,avg_C,max_A,max_B,max_C,std_A,std_B,std_C,state_AA,lb_AA,ub_AA,state_AB,lb_AB,ub_AB,state_AC,lb_AC,ub_AC,state_BA,lb_BA,ub_BA,state_BC,lb_BC,ub_BC,state_CB,lb_CB,ub_CB,state_CC,lb_CC,ub_CC,Adj,k_max,params,path,adj_tup,index,type,estimated_params,original_params,euclidian_dist,search_alg,Has_closer_est,closer_est_index,b_C,V_C,K_AC,K_BC,K_CC,b_C_est,V_C_est,K_AC_est,K_BC_est,K_CC_est,b_C_est_ratio,V_C_est_ratio,K_AC_est_ratio,K_BC_est_ratio,K_CC_est_ratio,bad_estimates,list_of_bad_estimates,loss,loss_hat,loss_ratio
0,0.8793113491557626,27.46709964987231,2.000049607891685,3.85994209665612,31.707844789270883,2.000238399428164,6.759598103256987,35.970981738090444,2.00054297012842,1.4901104922678814,1.987235214166405,0.0001301418991428,Active,0.8800088000880009,28.11028110281103,Active,0.8800088000880009,28.11028110281103,Active,0.8900089000890009,28.10028100281003,Active,4.450044500445005,140.54140541405414,Active,0.8900089000890009,28.10028100281003,Active,1.7800178001780018,56.21056210562106,Active,0.8800088000880009,28.11028110281103,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",8.430177055552395,"(4.0, 0.001, 0.1, 5.0, 5.0, 5.0, 5.0, 0.5, 0.5, 50.0, 25.0, 5.0, 1.0, 0.5, 10.0, 10.0, 5.0)",outputs_second_search/solution_10_0_24.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",0,labyrinth,"(1.0000040060693434, 479.805862328772, 4.934192644164136, 2.101689285070666, 5.592490467138947)","(1.0, 10.0, 5.0, 5.0, 5.0)",469.8151805327741,L_BFGS_B,True,5,1.0,10.0,5.0,5.0,5.0,1.0000040060693434,479.805862328772,4.934192644164136,2.101689285070666,5.592490467138947,0.9999959939467051,0.02084176285688609,1.0133370057842588,2.379038631217974,0.8940560613164428,2,"('V_C', 'K_BC')",9.617465912273296e-08,2.2768040442613978e-08,0.763263622140229
1,0.1164364281858937,4.861978395033702,2.0073917025184462,2.5924158882086368,5.722580097733872,2.1022080316611453,7.983336448306287,6.991983663335906,2.1861695921713657,2.202454576420158,0.485618608538163,0.0495350712592535,Active,0.8800088000880009,28.11028110281103,Active,0.8800088000880009,28.11028110281103,Active,0.8900089000890009,28.10028100281003,Active,0.8900089000890009,28.10028100281003,Active,0.8900089000890009,28.10028100281003,Active,1.7800178001780018,56.21056210562106,Active,0.8800088000880009,28.11028110281103,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",30.49763839408395,"(4.0, 0.001, 0.1, 5.0, 5.0, 5.0, 5.0, 1.0, 0.5, 10.0, 5.0, 5.0, 20.0, 10.0, 100.0, 10.0, 5.0)",outputs_second_search/solution_10_0_26.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",1,in-between,"(20.000304386347153, 85.2389610668721, 4.997341212844149, 4.9936903459814115, 4.794073646196861)","(20.0, 100.0, 5.0, 5.0, 5.0)",14.762476859322847,L_BFGS_B,True,27,20.0,100.0,5.0,5.0,5.0,20.000304386347153,85.2389610668721,4.997341212844149,4.9936903459814115,4.794073646196861,0.9999847809142665,1.1731724407286885,1.0005320403475788,1.0012635252851965,1.0429543576091076,0,(),0.0016473572401744902,0.0015268961979093506,0.07312381269067068
2,0.4188299292998592,10.480203729773422,2.032848206950105,3.306252219903573,12.188667058233731,9.855274776147226,7.779957202935182,14.042249362032358,20.05668678134972,1.93600856155578,0.9236933633288132,7.000236229235519,Active,0.8800088000880009,28.11028110281103,Active,0.8800088000880009,28.11028110281103,Active,0.8900089000890009,28.10028100281003,Active,1.7800178001780018,56.21056210562106,Active,1.7800178001780018,56.21056210562106,Active,17.790177901779018,562.1956219562196,Active,0.8800088000880009,28.11028110281103,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",7.155637806089962,"(4.0, 0.001, 0.1, 5.0, 5.0, 5.0, 5.0, 1.0, 0.5, 20.0, 10.0, 10.0, 1.0, 0.5, 20.0, 100.0, 5.0)",outputs_second_search/solution_10_0_27.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",2,in-between,"(1.0716883910856319, 18.63238110891544, 5.166049192289773, 10.298392269161836, 6.531837435690411)","(1.0, 20.0, 5.0, 10.0, 5.0)",2.0829442783248,L_BFGS_B,True,10,1.0,20.0,5.0,10.0,5.0,1.0716883910856319,18.63238110891544,5.166049192289773,10.298392269161836,6.531837435690411,0.9331070564149615,1.0734001136564433,0.9678576052784016,0.9710253541171314,0.7654813900725169,1,"('K_CC',)",349.4342182299661,173.77872778438316,0.5026854305664545
4,0.5968172216301024,26.80706558153072,10.271111531020722,3.934025158212957,32.08788887565329,10.397189714689183,6.592565730073738,35.59711764127561,10.691463123626178,1.4109939489278005,1.9201413059310064,0.082912193029888,Active,0.8800088000880009,28.11028110281103,Active,0.8800088000880009,28.11028110281103,Active,4.450044500445005,140.54140541405414,Active,4.450044500445005,140.54140541405414,Active,4.450044500445005,140.54140541405414,Active,4.450044500445005,140.54140541405414,Active,4.4400444004440045,140.55140551405515,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",8.093606128612999,"(4.0, 0.001, 0.1, 5.0, 5.0, 5.0, 25.0, 0.5, 0.5, 50.0, 25.0, 25.0, 5.0, 0.5, 25.0, 25.0, 25.0)",outputs_second_search/solution_10_0_37.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",4,in-between,"(5.007433061584645, 17.039918288137567, 25.461363535507967, 24.56459702422499, 22.585936842792673)","(5.0, 25.0, 25.0, 25.0, 25.0)",8.34224724520481,L_BFGS_B,True,120,5.0,25.0,25.0,25.0,25.0,5.007433061584645,17.039918288137567,25.461363535507967,24.56459702422499,22.585936842792673,0.9985155944186915,1.4671431856221921,0.9818798574999898,1.017724816545764,1.1068834635468163,1,"('V_C',)",0.03978757212601908,0.005485216445144488,0.8621374426222546
5,0.1644073732627528,9.032557538013425,4.085822564319497,2.588992582525192,11.224012209607352,4.251898301247103,7.6723525979975955,14.041682469931589,4.455098613393734,2.080805535298003,1.1991440568863567,0.0855181351116217,Active,0.8800088000880009,28.11028110281103,Active,0.8800088000880009,28.11028110281103,Active,1.7800178001780018,56.21056210562106,Active,1.7800178001780018,56.21056210562106,Active,1.7800178001780018,56.21056210562106,Active,3.560035600356004,112.43112431124312,Active,1.770017700177002,56.22056220562206,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",21.320663081660705,"(4.0, 0.001, 0.1, 5.0, 5.0, 5.0, 10.0, 1.0, 0.5, 25.0, 10.0, 10.0, 20.0, 5.0, 100.0, 20.0, 10.0)",outputs_second_search/solution_10_0_39.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",5,in-between,"(20.008009285043443, 51.44384813881125, 9.930328343292416, 9.890003320575639, 8.35776429162995)","(20.0, 100.0, 10.0, 10.0, 10.0)",48.584090392293525,L_BFGS_B,True,29,20.0,100.0,10.0,10.0,10.0,20.008009285043443,51.44384813881125,9.930328343292416,9.890003320575639,8.35776429162995,0.9995996960552478,1.9438670242974319,1.0070160476369994,1.0111220063187965,1.1964922257995119,1,"('V_C',)",0.005193636176748192,0.0030704083569019396,0.40881335303229405
7,0.8984375113249949,28.14916752256508,10.28440042566124,4.120258797689463,32.54095478692098,10.369177591742684,6.201927012197223,35.48592341920024,10.561408948860354,1.1155169456130234,1.6191180852261764,0.0519085778172774,Active,0.8800088000880009,28.11028110281103,Active,0.8800088000880009,28.11028110281103,Active,4.450044500445005,140.54140541405414,Active,4.450044500445005,140.54140541405414,Active,4.450044500445005,140.54140541405414,Active,3.560035600356004,112.43112431124312,Active,4.4400444004440045,140.55140551405515,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",5.392088340438734,"(4.0, 0.001, 0.1, 5.0, 5.0, 5.0, 25.0, 0.5, 0.5, 50.0, 25.0, 25.0, 1.0, 0.1, 5.0, 20.0, 25.0)",outputs_second_search/solution_10_0_44.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",7,labyrinth,"(0.8355945183491891, 461.22577334790077, 46.09245863516542, 78.41357278429396, 71.20383594332267)","(1.0, 5.0, 25.0, 25.0, 25.0)",462.1414061959708,L_BFGS_B,True,120,1.0,5.0,25.0,25.0,25.0,0.8355945183491891,461.22577334790077,46.09245863516542,78.41357278429396,71.20383594332267,1.1967527048593047,0.01084067779583627,0.5423880769277666,0.3188223557772569,0.35110467952737373,4,"('V_C', 'K_AC', 'K_BC', 'K_CC')",0.0394546526725011,0.00043475079947689546,0.988981000464366
8,0.0202937297676467,0.4155162137225883,0.2029465772572909,0.0875295278788908,0.5552876676382548,0.2311107957685425,0.3466829290553375,0.8966456744054053,13.738935763023948,0.0705823335698418,0.0901484554309464,0.3591721015638703,Active,0.080000800008,2.8200282002820027,Active,0.080000800008,2.8200282002820027,Active,0.1800018000180002,5.620056200562006,Active,0.0900009000090001,2.810028100281003,Active,0.0900009000090001,2.810028100281003,Active,8.90008900089001,281.0928109281093,Active,0.1700017000170001,5.630056300563006,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",21.278114192070305,"(4.0, 0.001, 0.1, 5.0, 0.5, 0.5, 1.0, 0.1, 1.0, 50.0, 0.5, 0.5, 1.0, 5.0, 100.0, 50.0, 1.0)",outputs_second_search/solution_10_0_4.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",8,spot,"(1.1060929719945531, 549.6796615490723, 0.03905291976599431, 0.26014761094968286, 4.302117268586342)","(1.0, 100.0, 1.0, 0.5, 1.0)",449.69288875133657,L_BFGS_B,True,21,1.0,100.0,1.0,0.5,1.0,1.1060929719945531,549.6796615490723,0.03905291976599431,0.26014761094968286,4.302117268586342,0.904083133442895,0.18192414054066755,25.60628004236342,1.921985745610821,0.23244368704263516,4,"('V_C', 'K_AC', 'K_BC', 'K_CC')",2742.119429704949,72.2508243257571,0.9736514669845977
9,3.739640733888654,6.713232585368553,4.684612002680142,4.743389970091794,6.940871993210038,4.745921646616078,5.259339761925143,7.055100117514177,4.862617912601516,0.2225486701126475,0.0525139072260447,0.0267277568452474,Active,0.8800088000880009,28.11028110281103,Active,0.8800088000880009,28.11028110281103,Active,1.7800178001780018,56.21056210562106,Active,0.8900089000890009,28.10028100281003,Active,1.7800178001780018,56.21056210562106,Active,0.8900089000890009,28.10028100281003,Active,1.770017700177002,56.22056220562206,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",17.044873111356765,"(4.0, 0.001, 0.1, 5.0, 5.0, 5.0, 10.0, 1.0, 0.5, 10.0, 5.0, 10.0, 20.0, 5.0, 100.0, 5.0, 10.0)",outputs_second_search/solution_10_0_51.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",9,in-between,"(20.036686508065014, 157.11966064477295, 10.015870790731082, 10.106627328596428, 11.29968575526109)","(20.0, 100.0, 10.0, 10.0, 10.0)",57.134558564895976,L_BFGS_B,True,26,20.0,100.0,10.0,10.0,10.0,20.036686508065014,157.11966064477295,10.015870790731082,10.106627328596428,11.29968575526109,0.9981690331856893,0.636457586463905,0.9984154357556441,0.989449761514929,0.8849803628692983,1,"('V_C',)",0.0078008250931874325,0.0007011706364362536,0.9101158367146834
10,0.260663326641385,4.858461455821558,2.014824902993612,2.369012949441192,5.564518910784846,2.1145838132337325,6.781962681984712,6.989638679397764,2.186185251497455,1.761791067961428,0.4853693181727037,0.0494202262286003,Active,0.8800088000880009,28.11028110281103,Active,1.770017700177002,56.22056220562206,Active,0.8900089000890009,28.10028100281003,Active,0.8900089000890009,28.10028100281003,Active,0.8900089000890009,28.10028100281003,Active,1.7800178001780018,56.21056210562106,Active,0.8800088000880009,28.11028110281103,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",22.37221821669907,"(4.0, 0.001, 0.1, 5.0, 5.0, 10.0, 5.0, 1.0, 0.5, 100.0, 5.0, 5.0, 10.0, 5.0, 50.0, 10.0, 5.0)",outputs_second_search/solution_10_0_53.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",10,labyrinth,"(10.00190985295882, 159.44149790913661, 4.985078820290587, 5.021848176369338, 6.742940222151646)","(10.0, 50.0, 5.0, 5.0, 5.0)",109.45537907679777,L_BFGS_B,True,12,10.0,50.0,5.0,5.0,5.0,10.00190985295882,159.44149790913661,4.985078820290587,5.021848176369338,6.742940222151646,0.9998090511725364,0.3135946454071466,1.0029931682621906,0.9956493753689835,0.7415162874459711,2,"('V_C', 'K_CC')",0.019026428973072815,0.005185242380367378,0.7274715929244631
11,0.4833154314978966,26.77227766070811,0.200535916177828,0.5267701897576484,26.8960789790738,0.2005588621551782,0.5715759113778472,27.00709376935613,0.2005816154137838,0.0153346750477611,0.049027495219958,8.6570372423531e-06,Active,0.080000800008,2.8200282002820027,Active,0.080000800008,2.8200282002820027,Active,0.1800018000180002,5.620056200562006,Active,1.7800178001780018,56.21056210562106,Active,0.8900089000890009,28.10028100281003,Active,0.0900009000090001,2.810028100281003,Active,0.080000800008,2.8200282002820027,"[[ 1  1 -1]
 [-1  0 -1]
 [ 0 -1  1]]",22.430039363159985,"(4.0, 0.001, 0.1, 5.0, 0.5, 0.5, 1.0, 0.001, 0.1, 5.0, 10.0, 5.0, 1.0, 5.0, 100.0, 0.5, 0.5)",outputs_second_search/solution_10_0_6.npy,"(1, 1, -1, -1, 0, -1, 0, -1, 1)",11,in-between,"(1.0024494418535306, 39.99992848005101, 0.09564867169048653, 9.096635505106784, 0.1795138382590185)","(1.0, 100.0, 1.0, 5.0, 0.5)",60.147415352327016,L_BFGS_B,True,30,1.0,100.0,1.0,5.0,0.5,1.0024494418535306,39.99992848005101,0.09564867169048653,9.096635505106784,0.1795138382590185,0.997556543251696,2.500004470004804,10.454928252803564,0.5496537700332212,2.7853005921390617,4,"('V_C', 'K_AC', 'K_BC', 'K_CC')",7.590670009128976e-10,8.641451857740599e-07,1137.4307113005693
