min_A,min_B,min_C,avg_A,avg_B,avg_C,max_A,max_B,max_C,std_A,std_B,std_C,state_AA,lb_AA,ub_AA,state_AB,lb_AB,ub_AB,state_AC,lb_AC,ub_AC,state_BA,lb_BA,ub_BA,state_BC,lb_BC,ub_BC,state_CB,lb_CB,ub_CB,state_CC,lb_CC,ub_CC,Adj,k_max,params,path,adj_tup
0.267347802957947,25.862610843522823,0.20000000090813053,0.5195772388272719,26.76689372076522,0.20000000141653168,0.6137868480249792,27.038455862473064,0.20000000311297833,0.04383265885670835,0.17396333669649736,2.8398254893567645e-10,Active,0.08000080000800008,2.8200282002820027,Active,0.08000080000800008,2.8200282002820027,Active,0.0900009000090001,2.810028100281003,Active,1.7800178001780018,56.21056210562106,ZERO,0.0900009000090001,2.810028100281003,Active,0.1800018000180002,5.620056200562006,Active,0.08000080000800008,2.8200282002820027,"[[ 1  1  0]
 [-1  0  0]
 [ 0 -1  0]]",7.6748052131028475,"[4.e+00 1.e-03 1.e-01 5.e+00 5.e-01 5.e-01 5.e-01 1.e-03 1.e-01 5.e+00
 1.e+01 5.e-01 1.e-01 5.e-01 5.e-01 1.e+00 5.e-01]",outputs_second_search/solution_10_0_0.npy,"(1, 1, 0, -1, 0, 0, 0, -1, 0)"
0.04881880244538074,93.07805768060665,0.12151126190966063,0.0984755067000525,96.50567102637442,0.1998422214768868,0.11312026472321787,97.47108426206995,0.28813782178175895,0.008697778890419762,0.5867275504420667,0.019980556860348154,Active,0.01000010000100001,0.5700057000570006,Active,0.01000010000100001,0.5700057000570006,Active,0.0900009000090001,2.810028100281003,Active,3.5600356003560036,112.43112431124312,ZERO,0.0900009000090001,2.810028100281003,ONE,0.8900089000890009,28.10028100281003,Active,0.17000170001700018,5.630056300563006,"[[ 1  1  0]
 [-1  0  0]
 [ 0  0  0]]",100.04299411021307,"[4.e+00 1.e-03 1.e-01 1.e+01 1.e-01 1.e-01 5.e-01 1.e-03 1.e-01 2.e+01
 2.e+01 5.e-01 2.e+01 1.e+02 1.e+02 5.e+00 1.e+00]",outputs_second_search/solution_10_0_100.npy,"(1, 1, 0, -1, 0, 0, 0, 0, 0)"
0.05237430599799522,93.43618924160116,0.001000000000000013,0.09839304795463386,96.4901459567851,0.0010000000000000182,0.11731809953252727,97.61884572400925,0.0010000000000000239,0.00952078061629262,0.6897645702746681,5.1232462745408526e-18,Active,0.01000010000100001,0.5700057000570006,Active,0.01000010000100001,0.5700057000570006,ONE,0.1800018000180002,5.620056200562006,Active,3.5600356003560036,112.43112431124312,Active,3.5600356003560036,112.43112431124312,ONE,1.7800178001780018,56.21056210562106,ZERO,1.7700177001770019,56.22056220562206,"[[ 1  1  0]
 [-1  0  0]
 [ 0  0  0]]",14.283950493403708,"[4.e+00 1.e-03 1.e-01 1.e+01 1.e-01 1.e-01 1.e+00 1.e-03 1.e-01 2.e+01
 2.e+01 2.e+01 1.e-03 1.e+00 1.e+02 1.e+01 1.e+01]",outputs_second_search/solution_10_0_101.npy,"(1, 1, 0, -1, 0, 0, 0, 0, 0)"
0.05673314867631407,93.69761869863467,0.20013881238542175,0.09848636928295448,96.4414073301087,0.20014468843894206,0.11709713607985613,97.4784246459627,0.20016104441413302,0.00884323614614167,0.6582137129508696,3.7787021213628705e-06,Active,0.01000010000100001,0.5700057000570006,Active,0.01000010000100001,0.5700057000570006,ONE,0.1800018000180002,5.620056200562006,Active,3.5600356003560036,112.43112431124312,ZERO,1.7800178001780018,56.21056210562106,ONE,1.7800178001780018,56.21056210562106,Active,0.08000080000800008,2.8200282002820027,"[[ 1  1  0]
 [-1  0  0]
 [ 0  0  0]]",14.26638821159252,"[4.0e+00 1.0e-03 1.0e-01 1.0e+01 1.0e-01 1.0e-01 1.0e+00 1.0e-03 1.0e-01
 2.0e+01 2.0e+01 1.0e+01 1.0e-01 5.0e-01 2.5e+01 1.0e+01 5.0e-01]",outputs_second_search/solution_10_0_102.npy,"(1, 1, 0, -1, 0, 0, 0, 0, 0)"
0.08798652691193905,96.33911648424649,4.999915674669914,0.1017385565565062,97.35308826750561,5.00000059478469,0.1090030201888962,97.91572332140167,5.000086895130297,0.0031998372589187333,0.23572556957906537,2.243258057327187e-05,Active,0.01000010000100001,0.5700057000570006,Active,0.01000010000100001,0.5700057000570006,ONE,4.450044500445005,140.54140541405414,Active,3.5600356003560036,112.43112431124312,ZERO,1.7800178001780018,56.21056210562106,Active,1.7800178001780018,56.21056210562106,ZERO,17.78017780177802,562.2056220562206,"[[ 1  1  0]
 [-1  0  0]
 [ 0 -1  0]]",13.608953187908284,"[4.0e+00 1.0e-03 1.0e-01 1.0e+01 1.0e-01 1.0e-01 2.5e+01 1.0e-03 1.0e-01
 2.0e+01 2.0e+01 1.0e+01 5.0e-01 1.0e-01 5.0e+01 1.0e+01 1.0e+02]",outputs_second_search/solution_10_0_103.npy,"(1, 1, 0, -1, 0, 0, 0, -1, 0)"
0.07038154493358662,94.35219714016688,0.2,0.09848073714041014,96.50695175235809,0.20000000000000012,0.11387721975714807,97.72050954429534,0.2000000000000003,0.007839984784956977,0.6042213727116413,1.4128048766764163e-16,Active,0.01000010000100001,0.5700057000570006,Active,0.01000010000100001,0.5700057000570006,ONE,0.1800018000180002,5.620056200562006,Active,3.5600356003560036,112.43112431124312,ZERO,0.0900009000090001,2.810028100281003,ONE,1.7800178001780018,56.21056210562106,ZERO,3.550035500355004,112.44112441124412,"[[ 1  1  0]
 [-1  0  0]
 [ 0  0  0]]",22.552177611874367,"[4.e+00 1.e-03 1.e-01 1.e+01 1.e-01 1.e-01 1.e+00 1.e-03 1.e-01 2.e+01
 2.e+01 5.e-01 1.e+00 5.e+00 1.e+02 1.e+01 2.e+01]",outputs_second_search/solution_10_0_104.npy,"(1, 1, 0, -1, 0, 0, 0, 0, 0)"
0.03428719235802745,91.45095512491639,0.40000000000089053,0.09837717968241033,96.51492568966265,0.4000000000009445,0.11781084803956933,97.92989727090028,0.4000000000011711,0.008906003422353405,0.7025787952764466,2.8636762011660103e-14,Active,0.01000010000100001,0.5700057000570006,Active,0.01000010000100001,0.5700057000570006,ONE,0.1800018000180002,5.620056200562006,Active,3.5600356003560036,112.43112431124312,ZERO,0.1800018000180002,5.620056200562006,ONE,1.7800178001780018,56.21056210562106,ZERO,0.8800088000880009,28.11028110281103,"[[ 1  1  0]
 [-1  0  0]
 [ 0  0  0]]",70.77146791409744,"[4.e+00 1.e-03 1.e-01 1.e+01 1.e-01 1.e-01 1.e+00 1.e-03 1.e-01 2.e+01
 2.e+01 1.e+00 2.e+01 5.e+01 1.e+02 1.e+01 5.e+00]",outputs_second_search/solution_10_0_105.npy,"(1, 1, 0, -1, 0, 0, 0, 0, 0)"
0.015778932140852554,0.17732712516945393,0.009999810091708132,0.016098565929782264,0.1778733510222228,0.010000000006224221,0.016481800077305996,0.1785443232583519,0.010000165633394374,0.00010160985002734418,0.00018147450893220065,4.4805007036975425e-08,Active,0.01000010000100001,0.5700057000570006,Active,0.01000010000100001,0.5700057000570006,ONE,0.1800018000180002,5.620056200562006,Active,0.02000020000200002,0.5600056000560005,ONE,3.5600356003560036,112.43112431124312,ONE,0.8900089000890009,28.10028100281003,ZERO,1.7700177001770019,56.22056220562206,"[[ 1  1  0]
 [-1  0  0]
 [ 0  0  0]]",4.048737483622899,"[4.0e+00 1.0e-03 1.0e-01 1.0e+01 1.0e-01 1.0e-01 1.0e+00 1.0e-03 1.0e-01
 2.5e+01 1.0e-01 2.0e+01 1.0e-03 1.0e-01 1.0e+01 5.0e+00 1.0e+01]",outputs_second_search/solution_10_0_106.npy,"(1, 1, 0, -1, 0, 0, 0, 0, 0)"
0.015765358986504458,0.17730180105768262,0.00019999999999999987,0.016097592539105126,0.17787902776226377,0.00019999999999999998,0.016365863546779314,0.17832520108631006,0.00020000000000000015,0.00011086424137364622,0.00019867468922299552,1.3808910331096715e-19,Active,0.01000010000100001,0.5700057000570006,Active,0.01000010000100001,0.5700057000570006,ZERO,0.01000010000100001,0.0,Active,0.02000020000200002,0.5600056000560005,Active,0.0900009000090001,2.810028100281003,ONE,0.8900089000890009,28.10028100281003,ZERO,3.550035500355004,112.44112441124412,"[[ 1  1  0]
 [-1  0  0]
 [ 0  0  0]]",22.503161458141154,"[4.0e+00 1.0e-03 1.0e-01 1.0e+01 1.0e-01 1.0e-01 1.0e-03 1.0e-03 1.0e-01
 2.5e+01 1.0e-01 5.0e-01 1.0e-03 5.0e+00 5.0e+01 5.0e+00 2.0e+01]",outputs_second_search/solution_10_0_107.npy,"(1, 1, 0, -1, 0, 0, 0, 0, 0)"
0.015625394745654466,0.1770612591525199,0.10000000031999964,0.016097422199020543,0.17785285474640922,0.10000000032,0.01653888026870362,0.1785423873188131,0.10000000032000031,0.00012256231641899333,0.00021241065461429946,3.3397819754499247e-16,Active,0.01000010000100001,0.5700057000570006,Active,0.01000010000100001,0.5700057000570006,ONE,0.8900089000890009,28.10028100281003,Active,0.02000020000200002,0.5600056000560005,ONE,1.7800178001780018,56.21056210562106,ONE,0.8900089000890009,28.10028100281003,ZERO,8.89008890088901,281.1028110281103,"[[ 1  1  0]
 [-1  0  0]
 [ 0  0  0]]",10.314663133878577,"[4.0e+00 1.0e-03 1.0e-01 1.0e+01 1.0e-01 1.0e-01 5.0e+00 1.0e-03 1.0e-01
 2.5e+01 1.0e-01 1.0e+01 1.0e-01 1.0e+00 2.0e+01 5.0e+00 5.0e+01]",outputs_second_search/solution_10_0_108.npy,"(1, 1, 0, -1, 0, 0, 0, 0, 0)"
